Datetime,Open,High,Low,Close,Volume,Adj Close
2024-07-11 11:14:00+00:00,25.71,25.72,25.7,25.71,16878,40
2024-07-11 11:15:00+00:00,25.71,25.72,25.7,25.71,14026,24
2024-07-11 11:16:00+00:00,25.71,25.72,25.71,25.72,8850,26
2024-07-11 11:17:00+00:00,25.71,25.72,25.7,25.71,3484,32
2024-07-11 11:18:00+00:00,25.71,25.71,25.71,25.71,2453,10
2024-07-11 11:19:00+00:00,25.71,25.72,25.7,25.71,15317,34
2024-07-11 11:20:00+00:00,25.71,25.72,25.69,25.69,19172,41
2024-07-11 11:21:00+00:00,25.7,25.7,25.69,25.7,31502,48
2024-07-11 11:22:00+00:00,25.7,25.7,25.68,25.68,16680,34
2024-07-11 11:23:00+00:00,25.67,25.68,25.67,25.67,7011,20
2024-07-11 11:24:00+00:00,25.67,25.68,25.65,25.66,39586,44
2024-07-11 11:25:00+00:00,25.66,25.66,25.64,25.64,13941,41
2024-07-11 11:26:00+00:00,25.64,25.65,25.63,25.65,48786,59
2024-07-11 11:27:00+00:00,25.64,25.65,25.63,25.64,9935,37
2024-07-11 11:28:00+00:00,25.65,25.65,25.63,25.63,10269,22
2024-07-11 11:29:00+00:00,25.63,25.64,25.63,25.64,2211,12
2024-07-11 11:30:00+00:00,25.64,25.65,25.63,25.64,8598,25
2024-07-11 11:31:00+00:00,25.64,25.64,25.62,25.62,17090,43
2024-07-11 11:32:00+00:00,25.63,25.64,25.62,25.63,15936,42
2024-07-11 11:33:00+00:00,25.64,25.66,25.63,25.66,14901,29
2024-07-11 11:34:00+00:00,25.66,25.69,25.66,25.68,6039,25
2024-07-11 11:35:00+00:00,25.68,25.69,25.66,25.68,10203,23
2024-07-11 11:36:00+00:00,25.69,25.69,25.67,25.67,17970,44
2024-07-11 11:37:00+00:00,25.67,25.71,25.66,25.7,14847,55
2024-07-11 11:38:00+00:00,25.71,25.75,25.7,25.74,28155,116
2024-07-11 11:39:00+00:00,25.73,25.76,25.73,25.75,16157,52
2024-07-11 11:40:00+00:00,25.75,25.8,25.75,25.8,48519,89
2024-07-11 11:41:00+00:00,25.8,25.8,25.77,25.8,12534,59
2024-07-11 11:42:00+00:00,25.81,25.84,25.8,25.82,86368,160
2024-07-11 11:43:00+00:00,25.82,25.88,25.8,25.87,569139,602
2024-07-11 11:44:00+00:00,25.87,25.97,25.86,25.95,473701,760
2024-07-11 11:45:00+00:00,25.95,25.95,25.86,25.87,487014,285
2024-07-11 11:46:00+00:00,25.86,25.87,25.84,25.85,106203,129
2024-07-11 11:47:00+00:00,25.86,25.88,25.83,25.84,39621,98
2024-07-11 11:48:00+00:00,25.83,25.84,25.82,25.83,58300,69
2024-07-11 11:49:00+00:00,25.84,25.88,25.84,25.87,57189,96
2024-07-11 11:50:00+00:00,25.87,25.9,25.85,25.9,119154,277
2024-07-11 11:51:00+00:00,25.89,25.95,25.89,25.94,137065,306
2024-07-11 11:52:00+00:00,25.95,25.95,25.9,25.91,69626,88
2024-07-11 11:53:00+00:00,25.9,25.91,25.88,25.89,141838,175
2024-07-11 11:54:00+00:00,25.9,25.92,25.88,25.89,42271,164
2024-07-11 11:55:00+00:00,25.9,25.92,25.89,25.91,10326,88
2024-07-11 11:56:00+00:00,25.92,25.92,25.89,25.89,14271,56
2024-07-11 11:57:00+00:00,25.89,25.89,25.86,25.87,9816,64
2024-07-11 11:58:00+00:00,25.88,25.88,25.86,25.87,12985,42
2024-07-11 11:59:00+00:00,25.86,25.87,25.85,25.86,55771,106
2024-07-11 12:00:00+00:00,25.85,25.85,25.81,25.81,53144,83
2024-07-11 12:01:00+00:00,25.81,25.81,25.78,25.8,83993,194
2024-07-11 12:02:00+00:00,25.81,25.81,25.77,25.78,39019,92
2024-07-11 12:03:00+00:00,25.77,25.78,25.75,25.76,36698,95
2024-07-11 12:04:00+00:00,25.76,25.76,25.72,25.73,63859,140
2024-07-11 12:05:00+00:00,25.72,25.74,25.72,25.73,36407,51
2024-07-11 12:06:00+00:00,25.73,25.75,25.72,25.74,35822,85
2024-07-11 12:07:00+00:00,25.74,25.75,25.73,25.73,4757,18
2024-07-11 12:08:00+00:00,25.73,25.78,25.73,25.78,35437,85
2024-07-11 12:09:00+00:00,25.77,25.78,25.74,25.77,21167,79
2024-07-11 12:10:00+00:00,25.78,25.83,25.77,25.77,34231,91
2024-07-11 12:11:00+00:00,25.77,25.79,25.76,25.76,61555,84
2024-07-11 12:12:00+00:00,25.77,25.79,25.76,25.78,19901,50
2024-07-11 12:13:00+00:00,25.77,25.78,25.77,25.77,9161,13
2024-07-11 12:14:00+00:00,25.78,25.78,25.75,25.75,26659,50
2024-07-11 12:15:00+00:00,25.76,25.79,25.75,25.79,33754,52
2024-07-11 12:16:00+00:00,25.8,25.8,25.75,25.75,27392,266
2024-07-11 12:17:00+00:00,25.76,25.76,25.71,25.72,48439,129
2024-07-11 12:18:00+00:00,25.73,25.73,25.71,25.72,21211,62
2024-07-11 12:19:00+00:00,25.72,25.75,25.72,25.73,20991,53
2024-07-11 12:20:00+00:00,25.73,25.74,25.72,25.74,46090,56
2024-07-11 12:21:00+00:00,25.74,25.74,25.71,25.74,21744,72
2024-07-11 12:22:00+00:00,25.73,25.76,25.73,25.76,19653,38
2024-07-11 12:23:00+00:00,25.75,25.76,25.74,25.75,13452,26
2024-07-11 12:24:00+00:00,25.76,25.78,25.75,25.78,25526,56
2024-07-11 12:25:00+00:00,25.78,25.83,25.78,25.83,38699,56
